PARQUE;ESPECIE;UNIDADES 2020
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Otros;3126
;Total:;12992
PARQUE DE LA DEHESA DE LA VILLA;Pinus pinea;4844
PARQUE DE LA DEHESA DE LA VILLA;Pinus halepensis;726
PARQUE DE LA DEHESA DE LA VILLA;Prunus dulcis;569
PARQUE DE LA DEHESA DE LA VILLA;Ulmus pumila;265
PARQUE DE LA DEHESA DE LA VILLA;Quercus ilex;217
PARQUE DE LA DEHESA DE LA VILLA;Ailanthus altissima;200
PARQUE DE LA DEHESA DE LA VILLA;Fraxinus angustifolia;162
PARQUE DE LA DEHESA DE LA VILLA;Platanus x hybrida;142
PARQUE DE LA DEHESA DE LA VILLA;Gleditsia triacanthos;129
PARQUE DE LA DEHESA DE LA VILLA;Celtis australis;115
PARQUE DE LA DEHESA DE LA VILLA;Otros;1188
;Total:;8557
Z.V.DISTRITO C-LAS TABLAS;Pinus pinea;510
Z.V.DISTRITO C-LAS TABLAS;Celtis australis;335
Z.V.DISTRITO C-LAS TABLAS;Prunus cerasifera pissardii;143
Z.V.DISTRITO C-LAS TABLAS;X Cupressocyparis leylandii;69
Z.V.DISTRITO C-LAS TABLAS;Melia azederach;107
Z.V.DISTRITO C-LAS TABLAS;Liquidambar styraciflua;51
Z.V.DISTRITO C-LAS TABLAS;Olea europaea;45
Z.V.DISTRITO C-LAS TABLAS;Aesculus hippocastanum;27
Z.V.DISTRITO C-LAS TABLAS;Cedrus deodara;47
Z.V.DISTRITO C-LAS TABLAS;Pyrus calleryana 'Chanticleer';51
Z.V.DISTRITO C-LAS TABLAS;Otros;330
;Total:;1715
PARQUE JUAN CARLOS I;Olea europaea;2385
PARQUE JUAN CARLOS I;Pinus pinea;1239
PARQUE JUAN CARLOS I;Catalpa bignonioides;978
PARQUE JUAN CARLOS I;Sophora japonica;603
PARQUE JUAN CARLOS I;X Cupressocyparis leylandii;543
PARQUE JUAN CARLOS I;Cupressus sempervirens;513
PARQUE JUAN CARLOS I;Fraxinus excelsior;509
PARQUE JUAN CARLOS I;Platanus x hybrida;460
PARQUE JUAN CARLOS I;Populus alba;372
PARQUE JUAN CARLOS I;Morus alba;388
PARQUE JUAN CARLOS I;Otros;6201
;Total:;14191
PARQUE JUAN PABLO II;Pinus pinea;138
PARQUE JUAN PABLO II;Aesculus hippocastanum;134
PARQUE JUAN PABLO II;Morus alba;114
PARQUE JUAN PABLO II;Celtis australis;106
PARQUE JUAN PABLO II;Gleditsia triacanthos;88
PARQUE JUAN PABLO II;Liquidambar styraciflua;80
PARQUE JUAN PABLO II;Prunus dulcis;64
PARQUE JUAN PABLO II;Trachycarpus fortunei;55
PARQUE JUAN PABLO II;Tilia platyphyllos;47
PARQUE JUAN PABLO II;Punica granatum;54
PARQUE JUAN PABLO II;Otros;768
;Total:;1648
PARQUE MADRID RÍO;Pinus pinea;3219
PARQUE MADRID RÍO;Pinus halepensis;2685
PARQUE MADRID RÍO;Platanus x hybrida;1515
PARQUE MADRID RÍO;Fraxinus angustifolia;735
PARQUE MADRID RÍO;Acer X freemanii;668
PARQUE MADRID RÍO;Populus nigra;644
PARQUE MADRID RÍO;Aesculus hippocastanum;510
PARQUE MADRID RÍO;Melia azedarach;517
PARQUE MADRID RÍO;Ginkgo biloba;426
PARQUE MADRID RÍO;Tilia platyphyllos;408
PARQUE MADRID RÍO;Otros;4326
;Total:;15653
QUINTA DE LOS MOLINOS;Prunus dulcis;1671
QUINTA DE LOS MOLINOS;Pinus halepensis;1281
QUINTA DE LOS MOLINOS;Cupressus sempervirens;607
QUINTA DE LOS MOLINOS;Pinus pinea;447
QUINTA DE LOS MOLINOS;Eucalyptus sp;382
QUINTA DE LOS MOLINOS;Platanus x hybrida;277
QUINTA DE LOS MOLINOS;Ulmus sp;237
QUINTA DE LOS MOLINOS;Cedrus deodara;244
QUINTA DE LOS MOLINOS;Gleditsia triacanthos;217
QUINTA DE LOS MOLINOS;Ligustrum japonicum;170
QUINTA DE LOS MOLINOS;Otros;1463
;Total:;6996
PARQUE DEL OESTE- TEMPLO DE DEBOD;Pinus pinea;1167
PARQUE DEL OESTE- TEMPLO DE DEBOD;Sophora japonica;849
PARQUE DEL OESTE- TEMPLO DE DEBOD;Platanus x hybrida;618
PARQUE DEL OESTE- TEMPLO DE DEBOD;Ligustrum japonicum;502
PARQUE DEL OESTE- TEMPLO DE DEBOD;Pinus halepensis;356
PARQUE DEL OESTE- TEMPLO DE DEBOD;Populus alba 'bolleana';364
PARQUE DEL OESTE- TEMPLO DE DEBOD;Cedrus deodara;346
PARQUE DEL OESTE- TEMPLO DE DEBOD;Prunus cerasifera subsp. Pissartii;316
PARQUE DEL OESTE- TEMPLO DE DEBOD;Celtis australis;293
PARQUE DEL OESTE- TEMPLO DE DEBOD;Cedrus atlantica;266
PARQUE DEL OESTE- TEMPLO DE DEBOD;Otros;2465
;Total:;7542
ROSALEDA DE MADRID (PARQUE DEL OESTE);Cedrus deodara;55
ROSALEDA DE MADRID (PARQUE DEL OESTE);Acer negundo;18
ROSALEDA DE MADRID (PARQUE DEL OESTE);Prunus cerasifera pisardii;7
ROSALEDA DE MADRID (PARQUE DEL OESTE);Thuja occidentalis;7
ROSALEDA DE MADRID (PARQUE DEL OESTE);Populus alba bolleana;5
ROSALEDA DE MADRID (PARQUE DEL OESTE);Ligustrum japonicum;3
ROSALEDA DE MADRID (PARQUE DEL OESTE);Quercus robur;1
ROSALEDA DE MADRID (PARQUE DEL OESTE);Betula utilis;2
ROSALEDA DE MADRID (PARQUE DEL OESTE);Cedrus libani;2
ROSALEDA DE MADRID (PARQUE DEL OESTE);Cedrus atlantica 'Glauca';2
ROSALEDA DE MADRID (PARQUE DEL OESTE);Otros;14
;Total:;116
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Platanus x hybrida;127
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Ligustrum lucidum;39
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cupressus sempervirens;32
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Taxus baccata;30
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Magnolia grandiflora;9
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cedrus deodara;8
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cupressus macrocarpa;7
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Pinus halepensis;1
;Total:;253
PARQUE LINEAL DEL MANZANARES;Populus nigra (Chopo negro);3778
PARQUE LINEAL DEL MANZANARES;Pinus pinea (Pino piñonero);3104
PARQUE LINEAL DEL MANZANARES;Celtis australis (Almez);2120
PARQUE LINEAL DEL MANZANARES;Fraxinus angustifolia (Fresno de la tierra);1132
PARQUE LINEAL DEL MANZANARES;Platanus hybrida (Platano de sombra);636
PARQUE LINEAL DEL MANZANARES;Olea europaea (Olivo);501
PARQUE LINEAL DEL MANZANARES;Ulmus sp;453
PARQUE LINEAL DEL MANZANARES;Salix alba (Sauce blanco);446
PARQUE LINEAL DEL MANZANARES;Cupressus sempervirens (Cipres comun);409
PARQUE LINEAL DEL MANZANARES;Pinus halepensis;311
PARQUE LINEAL DEL MANZANARES;Otros;3119
;Total:;16009
JARDINES DE SABATINI;Cupressus sempervirens;85
JARDINES DE SABATINI;Pinus pinea;51
JARDINES DE SABATINI;Acer negundo;26
JARDINES DE SABATINI;Cedrus deodara;21
JARDINES DE SABATINI;Magnolia grandiflora;16
JARDINES DE SABATINI;Abies nordmanniana;8
JARDINES DE SABATINI;Thuja occidentalis;5
JARDINES DE SABATINI;Acer pseudoplatanus;3
JARDINES DE SABATINI;Cercis siliquastrum;1
JARDINES DE SABATINI;Ulmus minor;1
JARDINES DE SABATINI;Otros;1
;Total:;218
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Celtis australis;1725
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Morus alba 'Fruitless';399
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Koelreuteria paniculata;350
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Populus nigra var. Italica;294
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Fraxinus angustifolia;210
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Olea europaea;160
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Prunus amygdalus;137
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Pinus pinea;137
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Cercis siliquastrum;118
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Aesculus hippocastanum;113
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Otros;2175
;Total:;5818
CASA DE CAMPO (1);Pinus pinea;301689
CASA DE CAMPO;Quercus ilex;208792
CASA DE CAMPO;Cupresus arizonica;53326
CASA DE CAMPO;Ulmus sp.;30758
CASA DE CAMPO;Fraxinus angustifolia;13575
CASA DE CAMPO;Pinus halepensis;9081
CASA DE CAMPO;Cupresus sempervirens;3686
CASA DE CAMPO;Salix sp.;1493
CASA DE CAMPO;Populus nigra;1263
CASA DE CAMPO;Acer negundo;922
CASA DE CAMPO;Otros;68410
;Total:;692995
;;
;TOTAL GENERAL;806730
;;
(1) El número de arboles de cada especie según figura en el Plan de Ordenacion;;
