nombre_distrito;n_distrito;nombre_especie;n_unidades;
chamartin;05;robinia_pseudoacacia;1155;
chamartin;05;ligustrum_japonicum;943;
chamartin;05;prunus_cerasifera_subsp._pissartii;932;
chamartin;05;melia_azedarach;721;
chamartin;05;aesculus_hippocastanum;642;
chamartin;05;populusalba_'bolleana';562;
chamartin;05;otros;6202;
;;total;26051;
tetuan;06;platanus_x_hybrida;4567;
tetuan;06;ligustrum_japonicum;906;
tetuan;06;ulmus_pumila;804;
tetuan;06;prunus_cerasifera_subsp._pissartii;721;
tetuan;06;sophora_japonica;528;
tetuan;06;pinus_pinea;527;
tetuan;06;melia_azedarach;513;
tetuan;06;celtis_australis;475;
tetuan;06;aesculus_hippocastanum;465;
tetuan;06;cupressus_sempervirens;423;
tetuan;06;otros;5063;
;;total;14992;
chamberi;07;sophora_japonica;5883;
chamberi;07;platanus_x_hybrida;1741;
chamberi;07;ulmus_pumila;862;
chamberi;07;celtis_australis;737;
chamberi;07;ligustrum_japonicum;643;
chamberi;07;melia_azedarach;412;
chamberi;07;robinia_pseudoacacia;323;
chamberi;07;koelreuteria_paniculata;283;
chamberi;07;aesculus_hippocastanum;267;
chamberi;07;prunus_cerasifera_subsp._pissartii;233;
chamberi;07;cercis_siliquastrum;190;
chamberi;07;pinus_pinea;167;
chamberi;07;otros;1756;
;;total;13497;
fuencarral_-_el_pardo;08;platanus_x_hybrida;9474;
fuencarral_-_el_pardo;08;ulmus_pumila;5328;
fuencarral_-_el_pardo;08;celtis_australis;3879;
fuencarral_-_el_pardo;08;pinus_pinea;3224;
fuencarral_-_el_pardo;08;robinia_pseudoacacia;2494;
fuencarral_-_el_pardo;08;melia_azedarach;2147;
fuencarral_-_el_pardo;08;prunus_cerasifera_'pissardii';2021;
fuencarral_-_el_pardo;08;acer_negundo;1714;
fuencarral_-_el_pardo;08;sophora_japonica;1449;
fuencarral_-_el_pardo;08;morus_alba;1416;
fuencarral_-_el_pardo;08;populus_x_canadensis;1411;
fuencarral_-_el_pardo;08;aesculus_hippocastanum;1381;
fuencarral_-_el_pardo;08;cupressus_sempervirens;1192;
fuencarral_-_el_pardo;08;ligustrum_japonicum;1043;
fuencarral_-_el_pardo;08;otros;20598;
;;total;58771;
moncloa-aravaca;09;platanus_x_hybrida;5400;
moncloa-aravaca;09;sophora_japonica;2732;
moncloa-aravaca;09;ulmus_pumila;2310;
moncloa-aravaca;09;pinus_pinea;1930;
moncloa-aravaca;09;acer_negundo;1854;
moncloa-aravaca;09;cupressus_sempervirens;1353;
moncloa-aravaca;09;robinia_pseudoacacia;1273;
moncloa-aravaca;09;catalpa_bignonioides;979;
moncloa-aravaca;09;ligustrum_japonicum;905;
moncloa-aravaca;09;celtis_australis;874;
moncloa-aravaca;09;cupressus_arizonica;804;
moncloa-aravaca;09;prunus_cerasifera_subsp._pissartii;660;
moncloa-aravaca;09;otros;12318;
;;total;33392;
latina;10;platanus_x_hybrida;5319;
latina;10;ulmus_pumila;4253;
latina;10;pinus_pinea;2617;
latina;10;robinia_pseudoacacia;1980;
latina;10;celtis_australis;1750;
latina;10;prunus_cerasifera_subsp._pissartii;1665;
latina;10;sophora_japonica;1538;
latina;10;ligustrum_japonicum;1141;
latina;10;acer_negundo;1055;
latina;10;cupressus_sempervirens;986;
latina;10;aesculus_hippocastanum;950;
latina;10;otros;14283;
;;total;37537;
carabanchel;11;platanus_x_hybrida;7506;
carabanchel;11;pinus_pinea;4293;
carabanchel;11;ulmus_pumila;2803;
carabanchel;11;sophora_japonica;2683;
carabanchel;11;robinia_pseudoacacia;2295;
carabanchel;11;celtis_australis;1951;
carabanchel;11;acer_negundo;1583;
carabanchel;11;gleditsia_triacanthos;1392;
carabanchel;11;aesculus_hippocastanum;992;
carabanchel;11;cupressus_sempervirens;948;
carabanchel;11;ligustrum_japonicum;923;
carabanchel;11;melia_azedarach;774;
carabanchel;11;otros;13214;
;;total;41357;
usera;12;platanus_x_hybrida;5066;
usera;12;ulmus_pumila;3788;
usera;12;pinus_pinea;2115;
usera;12;robinia_pseudoacacia;2099;
usera;12;celtis_australis;1346;
usera;12;sophora_japonica;1280;
usera;12;acer_negundo;1214;
usera;12;cedrus_deodara;770;
usera;12;melia_azedarach;715;
usera;12;prunus_cerasifera;670;
usera;12;populus_alba;649;
usera;12;platanus_orientalis;599;
usera;12;otros;11394;
;;total;31705;
puente_de_vallecas;13;platanus_x_hybrida;4609;
puente_de_vallecas;13;platanus_orientalis;4401;
puente_de_vallecas;13;robinia_pseudoacacia;3552;
puente_de_vallecas;13;sophora_japonica;3268;
puente_de_vallecas;13;ulmus_pumila;3076;
puente_de_vallecas;13;pinus_pinea;2536;
puente_de_vallecas;13;acer_negundo;2297;
puente_de_vallecas;13;ligustrum_japonicum;2122;
puente_de_vallecas;13;catalpa_bignonioides;1196;
puente_de_vallecas;13;celtis_australis;1182;
puente_de_vallecas;13;prunus_cerasifera_subsp._pissartii;1119;
puente_de_vallecas;13;acerpseudoplatanus;1004;
puente_de_vallecas;13;otros;14937;
;;total;45299;
moratalaz;14;ulmus_pumila;5689;
moratalaz;14;platanus_x_hybrida;2020;
moratalaz;14;pinus_pinea;1941;
moratalaz;14;celtis_australis;1500;
moratalaz;14;acer_negundo;1290;
moratalaz;14;platanus_orientalis;1096;
moratalaz;14;prunus_cerasifera_subsp._pissartii;776;
moratalaz;14;melia_azedarach;573;
moratalaz;14;catalpa_bignonioides;572;
moratalaz;14;acerpseudoplatanus;446;
moratalaz;14;otros;8305;
;;total;24208;
ciudad_lineal;15;platanus_x_hybrida;4716;
ciudad_lineal;15;pinus_pinea;4227;
ciudad_lineal;15;ulmus_pumila;3928;
ciudad_lineal;15;sophora_japonica;1680;
ciudad_lineal;15;prunus_cerasifera_subsp._pissartii;1488;
ciudad_lineal;15;robinia_pseudoacacia;1440;
ciudad_lineal;15;acer_negundo;1361;
ciudad_lineal;15;celtis_australis;1162;
ciudad_lineal;15;cupressus_sempervirens;1007;
ciudad_lineal;15;pinus_halepensis;960;
ciudad_lineal;15;ulmus_minor;891;
ciudad_lineal;15;otros;14884;
;;total;37744;
hortaleza;16;platanus_x_hybrida;4592;
hortaleza;16;pinus_pinea;4518;
hortaleza;16;celtis_australis;3249;
hortaleza;16;sophora_japonica;2489;
hortaleza;16;acer_negundo;2124;
hortaleza;16;cupressus_sempervirens;2058;
hortaleza;16;robinia_pseudoacacia;2005;
hortaleza;16;prunus_cerasifera_subsp._pissartii;1608;
hortaleza;16;ulmus_pumila;1475;
hortaleza;16;ligustrum_japonicum;1395;
hortaleza;16;populus_alba;1237;
hortaleza;16;aesculus_hippocastanum;1212;
hortaleza;16;ulmus_minor;1204;
hortaleza;16;melia_azedarach;1142;
hortaleza;16;otros;23259;
;;total;53567;
villaverde;17;ulmus_pumila;5478;
villaverde;17;celtis_australis;3334;
villaverde;17;platanus_x_hybrida;3033;
villaverde;17;ligustrum_japonicum;2356;
villaverde;17;pinus_pinea;2005;
villaverde;17;melia_azedarach;1809;
villaverde;17;pinus_halepensis;1754;
villaverde;17;robinia_pseudoacacia;1741;
villaverde;17;prunus_cerasifera_subsp._pissartii;1688;
villaverde;17;aesculus_hippocastanum;1609;
villaverde;17;acer_negundo;1259;
villaverde;17;catalpa_bignonioides;1105;
villaverde;17;otros;13403;
;;total;40574;
villa_de_vallecas;18;platanus_x_hybrida;5187;
villa_de_vallecas;18;pinus_halepensis;2777;
villa_de_vallecas;18;celtis_australis;2627;
villa_de_vallecas;18;acer_negundo;2260;
villa_de_vallecas;18;robinia_pseudoacacia;1893;
villa_de_vallecas;18;ulmus_pumila;1892;
villa_de_vallecas;18;cupressus_sempervirens;1225;
villa_de_vallecas;18;aesculus_hippocastanum;1083;
villa_de_vallecas;18;prunus_cerasifera_subsp._pissartii;1060;
villa_de_vallecas;18;melia_azedarach;982;
villa_de_vallecas;18;otros;15295;
;;total;36281;
vicalvaro;19;ligustrum_japonicum;1993;
vicalvaro;19;celtis_australis;1836;
vicalvaro;19;platanus_x_hybrida;1825;
vicalvaro;19;platanus_orientalis;1769;
vicalvaro;19;robinia_pseudoacacia;1461;
vicalvaro;19;pinus_pinea;1458;
vicalvaro;19;sophora_japonica;1437;
vicalvaro;19;aesculus_hippocastanum;1262;
vicalvaro;19;ulmus_pumila;1233;
vicalvaro;19;acer_negundo;1114;
vicalvaro;19;otros;11426;
;;total;26814;
san_blas_-_canillejas;20;platanus_x_hybrida;7099;
san_blas_-_canillejas;20;pinus_pinea;2968;
san_blas_-_canillejas;20;celtis_australis;2106;
san_blas_-_canillejas;20;sin_especie;1997;
san_blas_-_canillejas;20;acer_negundo;1894;
san_blas_-_canillejas;20;robinia_pseudoacacia;1832;
san_blas_-_canillejas;20;pinus_halepensis;1650;
san_blas_-_canillejas;20;aesculus_hippocastanum;1393;
san_blas_-_canillejas;20;ulmus_sp;1162;
san_blas_-_canillejas;20;ulmus_pumila;1109;
san_blas_-_canillejas;20;prunus_cerasifera_subsp._pissartii;870;
san_blas_-_canillejas;20;otros;14735;
;;total;38815;
barajas;21;platanus_x_hybrida;3026;
barajas;21;sophora_japonica;915;
barajas;21;celtis_australis;807;
barajas;21;ligustrum_japonicum;711;
barajas;21;catalpa_bignonioides;710;
barajas;21;robinia_pseudoacacia;672;
barajas;21;prunus_cerasifera_subsp._pissartii;540;
barajas;21;melia_azedarach;535;
barajas;21;pinus_pinea;511;
barajas;21;pinus_halepensis;462;
barajas;21;acer_negundo;397;
barajas;21;ulmus_pumila;357;
barajas;21;otros;6602;
;;total;16245;
;;;;
;;total:;648481;
