parque;especie;unidades_2020
parque_de_la_dehesa_de_la_villa;gleditsia_triacanthos;129
parque_de_la_dehesa_de_la_villa;celtis_australis;115
parque_de_la_dehesa_de_la_villa;otros;1188
;total:;8557
z.v.distrito_c-las_tablas;pinus_pinea;510
z.v.distrito_c-las_tablas;celtis_australis;335
z.v.distrito_c-las_tablas;prunus_cerasifera_pissardii;143
z.v.distrito_c-las_tablas;x_cupressocyparis_leylandii;69
z.v.distrito_c-las_tablas;melia_azederach;107
z.v.distrito_c-las_tablas;liquidambar_styraciflua;51
z.v.distrito_c-las_tablas;olea_europaea;45
z.v.distrito_c-las_tablas;aesculus_hippocastanum;27
z.v.distrito_c-las_tablas;cedrus_deodara;47
z.v.distrito_c-las_tablas;pyrus_calleryana_'chanticleer';51
z.v.distrito_c-las_tablas;otros;330
;total:;1715
parque_juan_carlos_i;olea_europaea;2385
parque_juan_carlos_i;pinus_pinea;1239
parque_juan_carlos_i;catalpa_bignonioides;978
parque_juan_carlos_i;sophora_japonica;603
parque_juan_carlos_i;x_cupressocyparis_leylandii;543
parque_juan_carlos_i;cupressus_sempervirens;513
parque_juan_carlos_i;fraxinus_excelsior;509
parque_juan_carlos_i;platanus_x_hybrida;460
parque_juan_carlos_i;populus_alba;372
parque_juan_carlos_i;morus_alba;388
parque_juan_carlos_i;otros;6201
;total:;14191
parque_juan_pablo_ii;pinus_pinea;138
parque_juan_pablo_ii;aesculus_hippocastanum;134
parque_juan_pablo_ii;morus_alba;114
parque_juan_pablo_ii;celtis_australis;106
parque_juan_pablo_ii;gleditsia_triacanthos;88
parque_juan_pablo_ii;liquidambar_styraciflua;80
parque_juan_pablo_ii;prunus_dulcis;64
parque_juan_pablo_ii;trachycarpus_fortunei;55
parque_juan_pablo_ii;tilia_platyphyllos;47
parque_juan_pablo_ii;punica_granatum;54
parque_juan_pablo_ii;otros;768
;total:;1648
parque_madrid_rio;pinus_pinea;3219
parque_madrid_rio;pinus_halepensis;2685
parque_madrid_rio;platanus_x_hybrida;1515
parque_madrid_rio;fraxinus_angustifolia;735
parque_madrid_rio;acer_x_freemanii;668
parque_madrid_rio;populus_nigra;644
parque_madrid_rio;aesculus_hippocastanum;510
parque_madrid_rio;melia_azedarach;517
parque_madrid_rio;ginkgo_biloba;426
parque_madrid_rio;tilia_platyphyllos;408
parque_madrid_rio;otros;4326
;total:;15653
quinta_de_los_molinos;prunus_dulcis;1671
quinta_de_los_molinos;pinus_halepensis;1281
quinta_de_los_molinos;cupressus_sempervirens;607
quinta_de_los_molinos;pinus_pinea;447
quinta_de_los_molinos;eucalyptus_sp;382
quinta_de_los_molinos;platanus_x_hybrida;277
quinta_de_los_molinos;ulmus_sp;237
quinta_de_los_molinos;cedrus_deodara;244
quinta_de_los_molinos;gleditsia_triacanthos;217
quinta_de_los_molinos;ligustrum_japonicum;170
quinta_de_los_molinos;otros;1463
;total:;6996
parque_del_oeste-_templo_de_debod;pinus_pinea;1167
parque_del_oeste-_templo_de_debod;sophora_japonica;849
parque_del_oeste-_templo_de_debod;platanus_x_hybrida;618
parque_del_oeste-_templo_de_debod;ligustrum_japonicum;502
parque_del_oeste-_templo_de_debod;pinus_halepensis;356
parque_del_oeste-_templo_de_debod;populus_alba_'bolleana';364
parque_del_oeste-_templo_de_debod;cedrus_deodara;346
parque_del_oeste-_templo_de_debod;prunus_cerasifera_subsp._pissartii;316
parque_del_oeste-_templo_de_debod;celtis_australis;293
parque_del_oeste-_templo_de_debod;cedrus_atlantica;266
parque_del_oeste-_templo_de_debod;otros;2465
;total:;7542
rosaleda_de_madrid_(parque_del_oeste);cedrus_deodara;55
rosaleda_de_madrid_(parque_del_oeste);acer_negundo;18
rosaleda_de_madrid_(parque_del_oeste);prunus_cerasifera_pisardii;7
rosaleda_de_madrid_(parque_del_oeste);thuja_occidentalis;7
rosaleda_de_madrid_(parque_del_oeste);populus_alba_bolleana;5
rosaleda_de_madrid_(parque_del_oeste);ligustrum_japonicum;3
rosaleda_de_madrid_(parque_del_oeste);quercus_robur;1
rosaleda_de_madrid_(parque_del_oeste);betula_utilis;2
rosaleda_de_madrid_(parque_del_oeste);cedrus_libani;2
rosaleda_de_madrid_(parque_del_oeste);cedrusatlantica'glauca';2
rosaleda_de_madrid_(parque_del_oeste);otros;14
;total:;116
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;platanus_x_hybrida;127
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;ligustrum_lucidum;39
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;cupressus_sempervirens;32
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;taxus_baccata;30
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;magnolia_grandiflora;9
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;cedrus_deodara;8
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;cupressus_macrocarpa;7
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;pinus_halepensis;1
;total:;253
parque_lineal_del_manzanares;populus_nigra_(chopo_negro);3778
parque_lineal_del_manzanares;pinus_pinea_(pino_pinonero);3104
parque_lineal_del_manzanares;celtis_australis_(almez);2120
parque_lineal_del_manzanares;fraxinus_angustifolia_(fresno_de_la_tierra);1132
parque_lineal_del_manzanares;platanus_hybrida_(platano_de_sombra);636
parque_lineal_del_manzanares;olea_europaea_(olivo);501
parque_lineal_del_manzanares;ulmus_sp;453
parque_lineal_del_manzanares;salix_alba_(sauce_blanco);446
parque_lineal_del_manzanares;cupressus_sempervirens_(cipres_comun);409
parque_lineal_del_manzanares;pinus_halepensis;311
parque_lineal_del_manzanares;otros;3119
;total:;16009
jardines_de_sabatini;cupressus_sempervirens;85
jardines_de_sabatini;pinus_pinea;51
jardines_de_sabatini;acer_negundo;26
jardines_de_sabatini;cedrus_deodara;21
jardines_de_sabatini;magnolia_grandiflora;16
jardines_de_sabatini;abies_nordmanniana;8
jardines_de_sabatini;thuja_occidentalis;5
jardines_de_sabatini;acer_pseudoplatanus;3
jardines_de_sabatini;cercis_siliquastrum;1
jardines_de_sabatini;ulmus_minor;1
jardines_de_sabatini;otros;1
;total:;218
parque_forestal_de_valdebebas-_felipe_vi;celtis_australis;1725
parque_forestal_de_valdebebas-_felipe_vi;morus_alba_'fruitless';399
parque_forestal_de_valdebebas-_felipe_vi;koelreuteria_paniculata;350
parque_forestal_de_valdebebas-_felipe_vi;populusnigravar.italica;294
parque_forestal_de_valdebebas-_felipe_vi;fraxinus_angustifolia;210
parque_forestal_de_valdebebas-_felipe_vi;olea_europaea;160
parque_forestal_de_valdebebas-_felipe_vi;prunus_amygdalus;137
parque_forestal_de_valdebebas-_felipe_vi;pinus_pinea;137
parque_forestal_de_valdebebas-_felipe_vi;cercis_siliquastrum;118
parque_forestal_de_valdebebas-_felipe_vi;aesculus_hippocastanum;113
parque_forestal_de_valdebebas-_felipe_vi;otros;2175
;total:;5818
casa_de_campo_(1);pinus_pinea;301689
casa_de_campo;quercus_ilex;208792
casa_de_campo;cupresus_arizonica;53326
casa_de_campo;ulmus_sp.;30758
casa_de_campo;fraxinus_angustifolia;13575
casa_de_campo;pinus_halepensis;9081
casa_de_campo;cupresus_sempervirens;3686
casa_de_campo;salix_sp.;1493
casa_de_campo;populus_nigra;1263
casa_de_campo;acer_negundo;922
casa_de_campo;otros;68410
;total:;692995
;;
;total_general;806730
;;
(1)_el_numero_de_arboles_de_cada_especie_segun_figura_en_el_plan_de_ordenacion;;
